Kendrick Lamar;man at the garden;american rap;232
Red Hot Chili Peppers;Look Around;alternative/indie;208
Tyler, The Creator;GONE,GONE/THANK YOU;alternative hip-hop;375
Tyler, The Creator;CORSO;alternative hip-hop;146
Mac Miller, Bilal;Congratulations(feat. Bilal);hip-hop/rap;256
Mac Miller;Good News;hip-hop/rap;342
Kali Uchis;Te Mata;r&b neo soul latin;232
Linkin Park;The Emptyness Machine;nu metal/heavy metal;198
Linkin Park;BURN IT DOWN;nu metal/heavy metal;230
Linkin Park;In the End;nu metal/heavy metal;216
Mac Miller;Perfecto;hip-hop/rap;215
Mac Miller;2009;hip-hop/rap;347
Lana Del Rey;Video Games;pop/r&b/hip-hop;281
Lana Del Rey;Ultraviolence;pop/r&b/hip-hop;251
Fleetwood Mac;As Long as You Follow;soft rock/folk/hard rock;258
Fleetwood Mac;Silver Springs;soft rock/folk/hard rock;288
Fleetwood Mac;The Chain;soft rock/folk/hard rock;270
Fleetwood Mac;Isn't It Midnight;soft rock/folk/hard rock;253
Fleetwood Mac;Tango in the Night;soft rock/folk/hard rock;242
Fleetwood Mac;Caroline;soft rock/folk/hard rock;233
Blue Oyster Cult;(Don't Fear)The Reaper;classic rock;308
Hall & Oates;Out of Touch;pop rock;249
Red Hot Chili Peppers;Torture Me;alternative/indie;224
Red Hot Chili Peppers;Charlie;alternative/indie;277
Michael Jackson;Thriller;Pop/Poprock;345
Mac Miller;5 Dollar Pony Rides;rap;222
Kendrick Lamar, SZA;All The Stars;R&B/Hip-Hop;232
